recipe_name,url,total_time,servings,ingredients,directions,img_src
Thai Yum Seafood Salad,https://tasty.co/recipe/thai-yum-seafood-salad,,,"3 tablespoons fresh lime juice, (about 2 limes) | 1.5 tablespoons fish sauce, or to taste | 1 tablespoon sugar | 1 –2 fresh Thai bird's eye red chile, to taste, finely chopped | 1 garlic clove, minced | 2 cups cooked shrimp/seafood of choice | 1 cup cherry tomatoes, halved | ½ cup sliced celery | ½ cup sliced white onion | ¼ cup chopped scallions","Make the dressing: Stir together the lime juice, fish sauce, sugar, chiles, and garlic in a small bowl. Set aside. | Make the salad: Toss together the dressing, cooked seafood, tomatoes, celery, and onion in a large bowl. Top with scallions, and serve. | Enjoy! | Your favorite recipes are just a click away. Download the Tasty app to save and organize your favorites.","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEAAAEALAAAAAABAAEAAAICTAEAOw=="
Mini Shakshuka Cups,https://tasty.co/recipe/mini-shakshuka-cups,,,"1 tablespoon olive oil | ½ small yellow onion, finely diced | ½ red bell pepper, finely diced | 2 garlic cloves, minced | ¾ teaspoon ground cumin | ½ teaspoon smoked paprika | ¼ teaspoon dried red pepper flakes, (optional) | 1 tablespoon tomato paste | ½ (14-ounce) can diced tomato, drained slightly | ½ teaspoon kosher salt, plus more to taste | ¼ teaspoon black pepper, plus more to taste | 1 tablespoon chopped fresh cilantro, plus more for garnish | 3 croissants, cut in half widthwise | 6 small eggs | crumbled feta cheese, (optional)","Preheat the oven to 375°F (190°C). Line a 6-cup jumbo muffin pan with parchment paper. Set aside. | Heat the oil in a large skillet over medium until it shimmers. Add the onion, and cook, stirring occasionally, for about 2 minutes, until softened. Add the bell pepper and garlic, and cook, stirring often, for 3 minutes. Stir in the cumin, paprika, and red pepper flakes (if using). Add the tomato paste, and cook, stirring often, for 1 minute. | Stir the drained diced tomatoes, salt, and black pepper into the vegetable mixture, and bring to a simmer over medium heat. Let the sauce simmer, uncovered, stirring as needed, until thickened and chunky, about 5 minutes. Stir in the cilantro, and remove from heat. Set aside. | Press each croissant half, cut side up, into a muffin cup, shaping it to form a base. Spoon about 2 tablespoons of the shakshuka sauce into each croissant cup. Crack 1 egg over the top of each filled cup. Season with salt and black pepper. | Bake for 14–16 minutes, until the croissants are golden and the eggs are just set. (For jammy yolks, check around the 13- or 14-minute mark.) | Remove from the oven. If desired, top with crumbled feta and more cilantro. | Enjoy! | Love this recipe? Download the Tasty app to save it and discover others like it.","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEAAAEALAAAAAABAAEAAAICTAEAOw=="
Strawberry Sago,https://tasty.co/recipe/strawberry-sago,,,1 cup sago | 1 lb fresh strawberries | 12 oz nata de coco (coconut jelly) | ¾ cup coconut milk | ½ cup condensed milk | 2 cups whole milk,"Cook the sago according to the package instructions, making sure to rinse after cooking to prevent them from sticking too much. | Stem and hull the strawberries. Cut half of the strawberries into ½-inch cubes, and leave the remaining strawberries whole. | Drain the coconut jellies in the nata de coco from the syrup, and set aside. Discard the syrup. | Place the whole strawberries, coconut milk, and condensed milk in a blender. Blend until smooth, about 2 minutes. | Stir together the cooked sago, nata de coco jellies, cubed strawberries, and blended strawberry mixture in a large bowl. Top with the whole milk. Chill in the refrigerator for 4 hours, or until ready to serve. | Ladle the sago into serving glasses. | Enjoy! | All your favorite recipes, stored in one place. Download the Tasty app and never lose a recipe again.",https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/525143.jpg?resize=300:*&output-format=jpg&output-quality=auto
Banana Milk Coffee,https://tasty.co/recipe/banana-milk-coffee,,,½ cup ice cubes | 10.5 oz (about 1½ cups) cold brew | ¾ cup banana milk | 3 tablespoons heavy cream | 2 teaspoons vanilla syrup | 1 teaspoon cocoa powder,"Pour the ice, cold brew, and banana milk into a tall glass. | Whisk together the heavy cream and vanilla syrup in a bowl until frothy and thick. | Pour the sweet cream mixture over the latte. Sprinkle with cocoa powder, and serve. | Enjoy! | Cook smarter, not harder. Use our AI chef Botatouille on the Tasty app. Download now.",https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/524969.jpg?resize=300:*&output-format=jpg&output-quality=auto
Gochujang Carbonara,https://tasty.co/recipe/gochujang-carbonara,,,"12 oz pasta (thick udon or bucatini) | 1.5 cups grated parmesan cheese, plus more to garnish | 3 large egg yolks | 2 tablespoons gochujang | 1 teaspoon sea salt, plus more for cooking water | freshly ground black pepper, to taste | 12 oz beef bacon, chopped | 2 scallions, thinly sliced | Toasted black and white sesame seed, for serving","Bring a large pot of salted water to a boil. Add the pasta, and cook according to package directions for al dente. Reserve ½ cup of the pasta water, then drain the pasta. | While the pasta cooks, whisk together the Parmesan, egg yolks, gochujang, salt, and a few cracks of black pepper in a bowl until smooth and creamy. | Heat a large skillet over medium. Add the chopped beef bacon, and cook, stirring constantly, for about 5 minutes, until crispy and golden. Remove some of the cooked bacon, and set aside for serving. Discard all but about 2 tablespoons of the drippings in the skillet. | Remove the skillet from heat. Add the hot, drained pasta to the bacon in the skillet. Pour the Parmesan mixture into the skillet, quickly toss to coat using tongs. Slowly pour in the reserved pasta water as needed to loosen the sauce and make it silky. | Top the pasta with extra Parmesan, scallions, sesame seeds, and the reserved crispy bacon bits. | Enjoy! | Ready for a smarter way to find recipes? Use Botatouille, our AI-powered food genius in the Tasty app. Download here",https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/524819.jpg?resize=300:*&output-format=jpg&output-quality=auto
Egg Matcha,https://tasty.co/recipe/egg-matcha,,,2 large pasteurized egg yolks | 1 tablespoon sweetened condensed milk | 3 tablespoons hot water | 2 teaspoons matcha powder | ½ cup ice cubes | ½ cup milk of choice,"In a bowl, whisk together the egg yolks and condensed milk until creamy and frothy, about 3 minutes. Set aside. | In a small bowl, whisk together the hot water and matcha until all the large bubbles are dissolved, about 2 minutes. | Place the ice in a glass. Add your milk of choice. | Layer in the whisked matcha, followed by the creamy egg custard mixture. Serve immediately. | Enjoy! | Your favorite recipes are just a click away. Download the Tasty app to save and organize your favorites.",https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/524630.jpg?resize=300:*&output-format=jpg&output-quality=auto
Cinnawaffles (Cinnamon Roll Waffles),https://tasty.co/recipe/cinnawaffles-cinnamon-roll-waffles,,,"cooking spray | 1 (8-count) can refrigerated cinnamon roll, (packaged glaze reserved) | 4 oz (½ block) cream cheese, softened | ¼ cup (½ stick) unsalted butter, softened | ½ teaspoon vanilla paste | ¾ cup powdered sugar | ground cinnamon, for dusting | Reserved glaze from cinnamon roll package | ⅓ cup mixed fresh berries, (such as blueberries, raspberries, or sliced strawberries) | powdered sugar, for dusting | ¼ cup cookie butter | 2 –3 cookies, crumbled","Make the CinnaWaffles: Preheat a nonstick waffle maker to medium heat. Lightly coat with cooking spray. Place 1 cinnamon roll on the center of the waffle maker. Close the lid, and cook for 2–3 minutes, until the waffle is golden brown with caramelized edges. Carefully remove, and set on a wire rack or plate to cool for 2 minutes before frosting. Repeat with the remaining rolls. | While the waffles cool, make the cream cheese frosting: Beat the cream cheese and butter in a medium bowl with a hand mixer on medium speed until smooth, 1–2 minutes. Add the vanilla and powdered sugar. Beat on low speed for about 2 minutes, until fully combined. Set aside. | Make the berry glaze topping: Place the reserved cinnamon roll glaze in a small bowl, and stir until smooth. Set aside. | Make the cookie butter topping: Microwave the cookie butter in a microwavable bowl on HIGH for 15–20 seconds, until slightly melted. Stir until smooth. Set aside. | Assemble the CinnaWaffles: Top 2 CinnaWaffles with the cream cheese frosting and a light dusting of cinnamon. Top 2 CinnaWaffles with the warmed glaze, and garnish with fresh berries and a dusting of powdered sugar. Top the remaining 2 CinnaWaffles with the warmed cookie butter, and sprinkle with crumbled cookies. | Enjoy! | Love this recipe? Download the Tasty app to save it and discover others like it.",https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/524438.jpg?resize=300:*&output-format=jpg&output-quality=auto
Caramelized Banana Upside-Down Cake,https://tasty.co/recipe/caramelized-banana-upside-down-cake,,,"½ cup sugar | 2 tablespoons water | 3 large bananas | 4 ripe medium bananas | 2 large eggs | 1 cup sugar | ½ cup plain whole-milk Greek yogurt | 1 teaspoon vanilla extract | 2 cups all-purpose flour | 1 tablespoon baking powder | ½ teaspoon ground cinnamon | ½ teaspoon kosher salt | ¾ cup unsalted butter, melted, plus more for greasing pan","Preheat the oven to 350°F (180°C). Grease a 9-inch round cake pan with unsalted butter, then line it with parchment paper, and grease the parchment, as well. Set aside. | Prepare the caramelized bananas: Place the sugar and water in a medium saucepan. Cook over medium-high heat, shaking the pan as needed, until an amber caramel forms, 6–8 minutes. Immediately pour the caramel into the prepared cake pan. | Slice each banana lengthwise evenly into 3 pieces. Arrange the slices, cut side down, in a spiral pattern on top of the caramel in the cake pan. Set aside. | Make the batter: Mash the ripe bananas in a large bowl using a potato masher or fork. Add the eggs, sugar, yogurt, and vanilla. Whisk until well combined. Sift in the flour, baking powder, cinnamon, and salt. Using a rubber spatula, mix together until no flour streaks remain. Stir in the melted butter until the batter is smooth. | Pour the batter evenly over the bananas in the cake pan. Transfer the pan to the preheated oven, and bake for about 40 minutes, or until a toothpick inserted into the center comes out clean. | Let the cake cool in the pan for about 5 minutes. Carefully invert the cake onto a serving plate. Remove the parchment paper, and serve your delicious caramel banana cake. | Enjoy! | All your favorite recipes, stored in one place. Download the Tasty app and never lose a recipe again.",https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/524388.jpg?resize=300:*&output-format=jpg&output-quality=auto
Cottage Cheese Bread,https://tasty.co/recipe/cottage-cheese-bread,,,"1.3 cups cottage cheese | 7 egg whites, (about 1 cup total) | ½ cup warm water | 1.5 teaspoons active dry yeast | 5 cups bread flour | 1 tablespoon kosher salt | 1 tablespoon olive oil, (optional)","Process the cottage cheese and egg whites in a blender until smooth, about 30 seconds. Set aside. | Stir together the water and yeast in a large bowl. Allow the yeast to activate, about 10 minutes (you’ll know when it’s done when you see bubbles!). | Add the cottage cheese-egg mixture to the yeast mixture. Stir in the flour and salt using a whisk, transferring to a fork when the mixture is too sticky. Stir until a shaggy dough forms and you can’t mix anymore. Transfer the dough to a clean work surface. | Knead your dough until smooth, about 5 minutes. If needed, lightly rub your hands with the oil to keep the bread from sticking! | Let the dough rest, covered, in a warm spot until doubled in size, about 1 hour. Shape it into your desired shape, and let it rest for another 30 minutes. Meanwhile, preheat your oven to 415°F (around 210°C) with the rack in the lower third position. | Place your loaf in a parchment paper-lined 1-pound loaf pan. Bake in the preheated oven until the bread is golden and puffy, 45–50 minutes. | Let the bread cool slightly, about 10 minutes. Slice and serve. | Enjoy! | Don't just wing it -- plan it! Use our meal planner tool in the Tasty app. Download here.",https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/524322.jpg?resize=300:*&output-format=jpg&output-quality=auto
Corn Pasta,https://tasty.co/recipe/corn-pasta,,,"1 lb spicy Italian sausage links, casings removed | 3 garlic cloves, sliced | 2 cups fresh sweet corn kernels | ¼ cup heavy cream | ¼ cup shredded parmesan cheese | 3 cups cooked pasta shells | ¼ cup lemon juice, plus more for serving | ½ tablespoon red pepper flakes","Add the sausage to an ungreased pan. Cook over medium heat, using a ladle to break it into small pieces, until sausage is browned all over and mostly cooked through, about 3 minutes. Add the garlic. Cook, stirring often, until the garlic is fragrant and slightly golden, about 1 minute. | Stir in the corn. Cook, stirring often, until the corn softens, about 1 minute. Stir in the cream and Parmesan. Cook, stirring often, until the cream thickens, about 30 seconds. Stir in the pasta shells and lemon juice. Toss to combine, and top with red pepper flakes and more lemon juice. | Enjoy! | Meal planning made easy with the Tasty app. Download now to see exclusive curated meal plans.",https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/524213.jpg?resize=300:*&output-format=jpg&output-quality=auto
Shrimp And Crispy Grits,https://tasty.co/recipe/shrimp-and-crispy-grits,,,"2 (14½-ounce) cans chicken broths | 2 cups water | 8 tablespoons unsalted butter, divided | 1.5 cups quick grits | 2 cups shredded gruyère cheese | 2 cups shredded parmesan cheese | 1 cup heavy cream | kosher salt, to taste | 3 large eggs, beaten | 2 cups panko bread crumbs | 1 cup vegetable oil | 1.5 lb large peeled, deveined shrimp | ½ tablespoon old bay seasoning | 2 teaspoons garlic powder | 1 teaspoon kosher salt | ½ teaspoon cayenne pepper | 2 tablespoons olive oil, divided | 2 tablespoons unsalted butter | ½ cup undrained canned fire-roasted diced tomatoes | 2 bell peppers (red and yellow)s, diced | ½ white onion, diced | 3 scallions, chopped, plus more for garnish | 4 garlic cloves, minced | 2 cups heavy cream | ½ tablespoon smoked paprika | ½ tablespoon old bay seasoning | ½ tablespoon garlic powder | 1.5 cups shredded parmesan cheese","Make the grits cakes: In a pot, bring the broth, water, and 4 tablespoons of the butter to a boil over high heat. Slowly whisk in the grits. Reduce the heat to low. Cook, stirring often, until soft and thickened, 3–4 minutes. Stir in the Gruyère, Parmesan, heavy cream, and remaining 4 tablespoons butter. Season with salt to taste. Spread the mixture evenly on a baking sheet. Let cool for about 10 minutes. Transfer to the refrigerator, and chill until firm, at least 30 minutes or up to overnight. | While the grits are chilling, make the shrimp: Toss together the shrimp, Old Bay, garlic powder, salt, cayenne, and 1 tablespoon of the olive oil in a bowl. Heat the remaining 1 tablespoon olive oil in a large skillet over high heat until it shimmers. Add the shrimp, and cook on both sides until just cooked, about 2 minutes per side. Remove from the skillet, and set aside. | Make the cream sauce: Add the butter to the same skillet, and melt over medium heat. Add the diced tomatoes, bell peppers, onion, scallions, and garlic. Cook, stirring often, until softened, about 1 minute. Stir in the heavy cream, paprika, Old Bay, and garlic powder. Simmer over medium heat, stirring constantly, until slightly thickened, 3–5 minutes. Stir in the Parmesan. Return the shrimp to the sauce mixture, and stir to evenly coat. | Cut the chilled grits into 12 (about 4-inch) rounds. Place the eggs in a bowl, and place the panko in another bowl.  Dip each grits round into the eggs, then coat in the panko. | Heat the vegetable oil in a heavy pan over medium heat. Working in batches, add the grits rounds, and cook until golden and crispy on both sides, 1–2 minutes per side. Set aside. | Arrange the grits cakes evenly on plates. Spoon the shrimp and sauce over the top. Garnish with more scallions. | Enjoy! | Busy? Plan your meals for the week using our exclusive meal planner tool in the Tasty app. Download now and get organized.",https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/524089.jpg?resize=300:*&output-format=jpg&output-quality=auto
